ája
ája ája
ájati
ájati
ája tutája
ajatutájati
ájčkati
ájčkati
às
átek
bavbáv
bavbáv
bíba
bíba
bímčkati
bímčkati
bíngel bôngel
bógec
bógec
bógek
cúcati
cúcati
cucljáti
cucljáti
čájček
čájček
číčati
číčati
číčkati
číčkati
číčniti
číčniti
denárček
denárček
dudeldú
dúdica
dúdica
dúdka
glédkati
bógek
bolánčkan
bolánčkan
bóžkati
bóžkati
brundáč
búba
búba
búban
búbati
búbati
bùc
búcati
búcati
búcniti
búcniti
búmfati
búmfati
búmfniti
cucálo
cúcati
cúcati
cucljáti
cucljáti
čájček
čájček
číčati
číčati
číčkati
číčkati
číčniti
číčniti
denárček
denárček
dudeldú
dúdica
dúdica
dúdka
glédkati
glédkati
gnídica
gŕd
hàm
hámati
hámati
hàp
hôpkati
hovhòv
hovhòv
igrájčkati se
jókcati
jókcati
jókec
jókec
kák
kák
kákati
kákati
kákec
kákec
krégati
kúkú
kúkúc
kúkúk
kúpček
lêžkati
lêžkati
ljúbček
ljúbček
ljúbčkati
lúčka
lúlati
lúlati
lúlček
lúlček
lúlek
lúlek
mámin
mándi
médo
médo
medvédek
mêsek
mêsek
mijáv
mijáv
mlékec
mlékec
môlčkati
múca
múcka
múcka
napápcati se
napápcati se
napúpcati se
naspánčkati se
naspánčkati se
nína
nína nána
nína nána
nínati
nínati
nóčka
nóčka
obímčkati
objémčkati
objémčkati
pá
pá
pánčkati
pánčkati
papá
pápa
pàpá
pápa
pàpá
papá
pápati
pápati
pápcati
pápcati
pápica
pápica
pápkati
pápkati
pí-bíp
pí-bíp
pímpek
pímpek
pípi
pípica
pípika
pípika
pobóžkati
pobóžkati
pocúcati
pocúcati
podréti
pôjčkati
pôjčkati
pojókcati
pojókcati
pokákati
pokákati
polêžkati
polêžkati
polúlan
polúlanec
polúlanka
polúlati
polúlati
popápati
popápati
popápcati
popápcati
pospánčkati
pospánčkati
potíčka
prašíček
prašíček
prídkan
prôskati
prôskati
púkec
púkec
púpa
púpa
púpati
púpati
púpcati
púpcati
púpica
púpica
rácka
ráček
rêči
ríta
rítka
rôkica
rôkica
sklédka
sklédka
slíkica
sméhec
sméhec
sméjčkati se
smêjčkati se
smúčkati se
smúčkati se
spánčkati
spánčkati
stójčkati
stójčkati
ta
tíček
tíček
trebúšek
učíčkati se
učíčkati se
umŕčkati
umŕčkati
vlákec
vstánčkati
vstánčkati
vzéti
zaájati
zaájati
zahvalíti se
zasméjčkati se
zasmêjčkati se
zaspánčkan
zaspánčkati
zaspánčkati
zébkati
zébkati
zlát
zóbček
zóbek
zóbček
zóbek
